Department Name,Date,Number of Sales
Clothing,2023-05-25,3813
Baby & Kids,2023-08-15,4164
Health & Beauty,2023-05-07,2268
Music,2023-06-12,1194
Electronics,2023-04-08,491
Office Supplies,2023-11-28,3429
Beauty & Personal Care,2023-03-29,4167
Luggage,2023-04-06,788
Music,2023-01-21,3429
Sports,2023-07-11,4829
Office Supplies,2023-07-11,1335
Musical Instruments,2023-04-27,3177
Musical Instruments,2023-10-11,1728
Toys,2023-01-17,4125
Automotive,2023-04-15,1375
Food & Beverage,2023-07-17,1504
Art & Crafts,2023-09-02,1678
Tools & Hardware,2023-01-18,855
Baby & Kids,2023-11-11,454
Cell Phones,2023-03-06,4510
Automotive,2023-06-03,662
Shoes,2023-06-16,4422
Art & Crafts,2023-11-07,1217
Musical Instruments,2023-12-03,5000
Art & Crafts,2023-03-27,135
Office Supplies,2023-10-19,3254
Furniture,2023-06-26,2306
Beauty & Personal Care,2023-11-17,2173
Home & Garden,2023-08-26,3406
Office Supplies,2023-05-26,3582
Pet Supplies,2023-06-30,3317
Office Supplies,2023-11-07,418
Music,2023-08-12,4815
Books,2023-12-11,3566
Pharmacy,2023-04-11,2563
Food & Beverage,2023-02-15,318
Health & Beauty,2023-09-24,516
Toys,2023-12-02,3280
Books,2023-04-29,151
Food & Beverage,2023-08-12,4222
Video Games,2023-01-15,1538
Movies & TV,2023-04-02,4967
Sports,2023-08-08,3336
Music,2023-07-07,1891
Toys,2023-05-26,2832
Travel,2023-07-26,699
Travel,2023-09-30,4931
Pharmacy,2023-01-03,4487
Musical Instruments,2023-05-30,938
Garden & Outdoor,2023-12-24,2867
Movies & TV,2023-12-23,1385
Automotive,2023-05-28,4902
Baby & Kids,2023-09-09,2145
Luggage,2023-08-20,1056
Clothing,2023-09-22,3090
Shoes,2023-12-26,4930
Music,2023-04-21,1153
Furniture,2023-02-14,1810
Pet Supplies,2023-07-08,1259
Automotive,2023-01-12,2592
Electronics,2023-09-02,287
Appliances,2023-05-22,1178
Clothing,2023-04-18,4932
Appliances,2023-01-06,676
Office Supplies,2023-09-18,1642
Appliances,2023-08-20,4831
Cell Phones,2023-12-14,3460
Industrial & Scientific,2023-11-27,4958
Pet Supplies,2023-01-02,2313
Travel,2023-11-04,1315
Musical Instruments,2023-05-24,460
Baby & Kids,2023-05-16,3543
Pharmacy,2023-05-10,3104
Electronics,2023-10-19,1112
Baby & Kids,2023-01-22,4269
Musical Instruments,2023-07-18,3601
Appliances,2023-04-02,2243
Food & Beverage,2023-03-16,226
Toys,2023-09-10,4414
Luggage,2023-04-05,4351
Shoes,2023-06-19,2858
Sports,2023-08-17,3351
Music,2023-07-17,4396
Sports,2023-09-27,80
Beauty & Personal Care,2023-02-06,682
Electronics,2023-04-23,4354
Shoes,2023-12-06,1380
Pet Supplies,2023-11-24,2630
Food & Beverage,2023-07-13,1321
Industrial & Scientific,2023-09-17,1502
Video Games,2023-05-05,3406
Movies & TV,2023-05-16,1323
Baby & Kids,2023-05-06,3865
Clothing,2023-01-08,2329
Musical Instruments,2023-05-17,4004
Beauty & Personal Care,2023-10-03,4403
Watches,2023-07-12,2515
Movies & TV,2023-06-30,1869
Computer & Tablets,2023-12-09,841
Pharmacy,2023-10-24,825
Books,2023-02-02,4564
Computer & Tablets,2023-05-09,783
Shoes,2023-07-23,99
Food & Beverage,2023-07-15,3360
Industrial & Scientific,2023-03-25,1951
Video Games,2023-08-27,3511
Cell Phones,2023-07-21,1386
Music,2023-12-15,193
Jewelry,2023-10-30,1022
Tools & Hardware,2023-09-07,4400
Pet Supplies,2023-04-20,4897
Books,2023-12-21,228
Software,2023-10-05,1125
Automotive,2023-08-15,4624
Movies & TV,2023-07-11,3052
Musical Instruments,2023-08-20,1077
Automotive,2023-02-18,524
Toys,2023-05-13,2894
Luggage,2023-03-01,885
Home & Garden,2023-04-30,4600
Books,2023-07-18,773
Software,2023-03-24,2323
Luggage,2023-03-13,1171
Beauty & Personal Care,2023-03-26,2730
Jewelry,2023-05-25,1404
Automotive,2023-07-15,3270
Watches,2023-07-13,1333
Pet Supplies,2023-10-30,2325
Garden & Outdoor,2023-01-01,4553
Travel,2023-10-30,3121
Watches,2023-08-06,1399
Luggage,2023-09-18,3058
Jewelry,2023-10-24,3960
Musical Instruments,2023-12-30,2250
Garden & Outdoor,2023-10-05,3691
Home & Garden,2023-08-14,1905
Home & Garden,2023-12-16,3226
Office Supplies,2023-09-18,3300
Books,2023-11-24,2852
Home & Garden,2023-06-20,3858
Baby & Kids,2023-12-08,2542
Furniture,2023-11-01,3959
Luggage,2023-05-25,3541
Health & Beauty,2023-10-24,439
Health & Beauty,2023-12-24,1890
Movies & TV,2023-11-07,1750
Musical Instruments,2023-04-24,3707
Books,2023-02-15,3002
Luggage,2023-12-23,1019
Movies & TV,2023-09-18,4757
Office Supplies,2023-01-10,605
Baby & Kids,2023-10-07,860
Luggage,2023-08-21,2925
Baby & Kids,2023-05-15,2074
Home & Garden,2023-08-23,1026
Automotive,2023-02-20,707
Furniture,2023-09-15,2074
Toys,2023-12-26,1853
Food & Beverage,2023-02-13,1863
Musical Instruments,2023-05-01,3078
Pharmacy,2023-04-19,3258
Electronics,2023-03-24,1509
Movies & TV,2023-11-04,349
Watches,2023-11-07,4532
Sports,2023-08-22,2316
Toys,2023-05-18,1428
Computer & Tablets,2023-12-31,87
Musical Instruments,2023-08-13,341
Computer & Tablets,2023-03-21,1642
Watches,2023-03-18,4215
Jewelry,2023-10-01,1907
Luggage,2023-03-13,1273
Tools & Hardware,2023-07-14,1595
Furniture,2023-06-03,1630
Beauty & Personal Care,2023-02-27,2395
Travel,2023-07-03,2064
Pet Supplies,2023-03-21,409
Food & Beverage,2023-12-24,4426
Beauty & Personal Care,2023-09-09,1837
Travel,2023-10-28,3676
Industrial & Scientific,2023-04-12,277
Sports,2023-05-31,1751
Tools & Hardware,2023-01-12,3310
Sports,2023-04-16,1059
Video Games,2023-11-20,4625
Jewelry,2023-10-11,3703
Home & Garden,2023-05-08,1709
Musical Instruments,2023-07-16,4042
Office Supplies,2023-03-10,2597
Pharmacy,2023-03-29,2510
Watches,2023-06-24,144
Health & Beauty,2023-10-16,2665
Office Supplies,2023-06-02,815
Clothing,2023-04-11,1450
Software,2023-06-16,3576
Toys,2023-11-30,2009
Appliances,2023-04-06,242
Garden & Outdoor,2023-09-15,1911
Computer & Tablets,2023-01-07,1329
Jewelry,2023-07-18,3961
Automotive,2023-12-25,4330
Health & Beauty,2023-05-23,4420
Health & Beauty,2023-04-27,2341
Food & Beverage,2023-05-05,3973
Books,2023-07-05,2264
Luggage,2023-09-10,1067
Baby & Kids,2023-03-17,1939
Automotive,2023-10-29,4306
Electronics,2023-07-26,4426
Art & Crafts,2023-10-06,2545
Cell Phones,2023-03-17,1028
Baby & Kids,2023-01-18,192
Appliances,2023-09-20,1046
Music,2023-03-11,2194
Computer & Tablets,2023-05-24,3379
Watches,2023-07-30,1306
Jewelry,2023-10-10,3014
Electronics,2023-11-01,3826
Electronics,2023-08-15,4153
Office Supplies,2023-03-01,1641
Travel,2023-05-16,1143
Watches,2023-09-15,4872
Watches,2023-11-01,4741
Toys,2023-05-05,789
Shoes,2023-03-21,1397
Industrial & Scientific,2023-09-18,1127
Musical Instruments,2023-08-22,2467
Video Games,2023-10-15,867
Luggage,2023-09-21,1133
Toys,2023-05-08,967
Baby & Kids,2023-11-12,1033
Software,2023-12-21,2795
Tools & Hardware,2023-11-03,4061
Electronics,2023-08-14,4474
Music,2023-05-29,1590
Appliances,2023-03-16,648
Tools & Hardware,2023-04-02,3327
Video Games,2023-01-18,373
Garden & Outdoor,2023-06-01,4411
Electronics,2023-12-15,4975
Art & Crafts,2023-10-24,4214
Sports,2023-06-26,1591
Art & Crafts,2023-03-29,979
Health & Beauty,2023-11-01,4786
Sports,2023-06-25,3473
Clothing,2023-08-29,3870
Computer & Tablets,2023-09-19,667
Electronics,2023-05-26,1651
Art & Crafts,2023-12-06,2674
Travel,2023-06-01,1546
Video Games,2023-06-26,1499
Musical Instruments,2023-03-17,2500
Musical Instruments,2023-11-07,3424
Office Supplies,2023-10-15,2494
Office Supplies,2023-01-08,2410
Toys,2023-05-03,4381
Music,2023-09-28,3601
Appliances,2023-05-07,4474
Computer & Tablets,2023-10-09,1454
Software,2023-05-17,1224
Tools & Hardware,2023-04-10,1959
Pharmacy,2023-12-15,1039
Appliances,2023-08-03,2457
Pet Supplies,2023-09-01,2463
Baby & Kids,2023-03-19,3578
Video Games,2023-03-20,4058
Computer & Tablets,2023-11-12,4225
Pharmacy,2023-06-01,4597
Luggage,2023-10-29,4417
Garden & Outdoor,2023-04-13,3631
Automotive,2023-01-23,2224
Computer & Tablets,2023-05-04,786
Garden & Outdoor,2023-04-02,3710
Pharmacy,2023-05-10,2402
Video Games,2023-05-06,3510
Pet Supplies,2023-03-22,2128
Cell Phones,2023-01-29,3440
Food & Beverage,2023-04-19,1063
Automotive,2023-03-29,277
Computer & Tablets,2023-07-10,2111
Pet Supplies,2023-12-14,3620
Baby & Kids,2023-06-06,2773
Art & Crafts,2023-09-07,3092
Computer & Tablets,2023-04-15,961
Computer & Tablets,2023-04-30,1893
Musical Instruments,2023-06-06,874
Computer & Tablets,2023-12-20,927
Office Supplies,2023-06-23,1141
Office Supplies,2023-06-29,4241
Home & Garden,2023-01-12,2274
Home & Garden,2023-02-27,2008
Health & Beauty,2023-12-09,2444
Food & Beverage,2023-04-22,462
Electronics,2023-04-14,4143
Sports,2023-06-19,1840
Office Supplies,2023-03-19,2718
Tools & Hardware,2023-06-07,2744
Video Games,2023-01-03,3438
Computer & Tablets,2023-04-11,4009
Garden & Outdoor,2023-07-11,430
Furniture,2023-12-27,1914
Luggage,2023-12-02,3261
Office Supplies,2023-06-10,2177
Software,2023-12-09,1039
Software,2023-07-01,2583
Garden & Outdoor,2023-03-25,4910
Home & Garden,2023-05-24,1063
Beauty & Personal Care,2023-01-08,896
Books,2023-04-28,3743
Luggage,2023-07-12,1434
Garden & Outdoor,2023-07-29,2568
Travel,2023-04-25,2193
Jewelry,2023-08-15,1161
Health & Beauty,2023-12-24,3857
Furniture,2023-04-21,1939
Food & Beverage,2023-08-24,735
Watches,2023-04-07,333
Home & Garden,2023-01-04,4255
Office Supplies,2023-11-22,2755
Electronics,2023-11-13,526
Software,2023-11-30,2384
Movies & TV,2023-12-12,2834
Watches,2023-12-17,3600
Computer & Tablets,2023-08-27,4028
Appliances,2023-07-24,3365
Home & Garden,2023-08-27,4436
Movies & TV,2023-12-23,3268
Clothing,2023-08-30,4903
Software,2023-08-11,2578
Health & Beauty,2023-11-19,1168
Jewelry,2023-10-04,3610
Cell Phones,2023-09-13,4391
Software,2023-10-27,1832
Automotive,2023-11-20,272
Food & Beverage,2023-12-24,4133
Art & Crafts,2023-04-17,4497
Musical Instruments,2023-03-04,3467
Music,2023-11-13,4502
Automotive,2023-08-26,3715
Computer & Tablets,2023-08-28,3265
Pharmacy,2023-07-04,2862
Art & Crafts,2023-02-15,3853
Electronics,2023-03-19,666
Garden & Outdoor,2023-03-07,242
Automotive,2023-07-07,4334
Clothing,2023-08-01,4677
Watches,2023-12-09,2116
Travel,2023-03-17,4924
Sports,2023-11-17,2670
Software,2023-06-20,4667
Software,2023-12-25,4455
Movies & TV,2023-09-10,4154
Industrial & Scientific,2023-05-14,1930
Musical Instruments,2023-01-29,1899
Clothing,2023-08-31,4579
Video Games,2023-01-05,3885
Art & Crafts,2023-03-03,4176
Baby & Kids,2023-08-28,2130
Health & Beauty,2023-11-07,3840
Shoes,2023-02-24,773
Tools & Hardware,2023-05-22,3052
Cell Phones,2023-11-30,1451
Garden & Outdoor,2023-06-04,1030
Garden & Outdoor,2023-05-26,2832
Computer & Tablets,2023-11-07,2769
Food & Beverage,2023-06-08,1829
Watches,2023-09-09,3142
Home & Garden,2023-02-15,3743
Office Supplies,2023-12-19,4212
Jewelry,2023-09-23,2214
Cell Phones,2023-11-11,1315
Appliances,2023-11-25,1802
Books,2023-10-03,3411
Music,2023-04-16,1840
Travel,2023-01-19,3109
Office Supplies,2023-12-26,1743
Clothing,2023-11-09,3246
Clothing,2023-11-10,1134
Furniture,2023-01-04,1302
Electronics,2023-10-03,3394
Health & Beauty,2023-08-01,3334
Food & Beverage,2023-01-11,2485
Clothing,2023-08-10,2071
Computer & Tablets,2023-04-27,3422
Home & Garden,2023-04-28,4935
Musical Instruments,2023-06-20,3890
Shoes,2023-07-13,3407
Music,2023-04-09,82
Food & Beverage,2023-11-17,3915
Shoes,2023-06-02,4715
Furniture,2023-11-08,3354
Appliances,2023-06-03,3650
Pet Supplies,2023-01-02,1411
Appliances,2023-08-17,2281
Food & Beverage,2023-02-27,2653
Food & Beverage,2023-10-24,4947
Furniture,2023-06-18,4274
Home & Garden,2023-09-10,4709
Office Supplies,2023-05-19,2648
Books,2023-05-03,2687
Shoes,2023-06-22,2404
Pet Supplies,2023-05-16,3264
Movies & TV,2023-08-23,3379
Jewelry,2023-05-07,2570
Books,2023-12-13,1815
Software,2023-11-28,727
Cell Phones,2023-03-04,2032
Beauty & Personal Care,2023-05-20,3145
Garden & Outdoor,2023-10-11,4137
Video Games,2023-11-29,1839
Clothing,2023-09-21,405
Garden & Outdoor,2023-01-09,4384
Home & Garden,2023-03-06,868
Toys,2023-04-07,954
Baby & Kids,2023-03-28,4318
Art & Crafts,2023-06-04,3856
Office Supplies,2023-03-27,341
Pharmacy,2023-05-08,2583
Pharmacy,2023-11-16,51
Beauty & Personal Care,2023-10-07,1073
Music,2023-08-07,4918
Travel,2023-01-24,2557
Office Supplies,2023-08-13,213
Food & Beverage,2023-07-08,2899
Shoes,2023-05-02,4263
Home & Garden,2023-09-26,2549
Tools & Hardware,2023-02-07,2033
Electronics,2023-04-14,912
Automotive,2023-10-19,4873
Office Supplies,2023-03-21,2214
Pet Supplies,2023-10-21,476
Clothing,2023-09-23,3221
Health & Beauty,2023-07-16,534
Beauty & Personal Care,2023-09-19,4554
Furniture,2023-04-03,3857
Beauty & Personal Care,2023-10-05,2832
Sports,2023-05-05,2955
Automotive,2023-06-23,3509
Books,2023-10-04,672
Musical Instruments,2023-09-07,2002
Industrial & Scientific,2023-10-19,2563
Sports,2023-07-08,2011
Home & Garden,2023-05-12,3226
Health & Beauty,2023-09-13,2649
Cell Phones,2023-03-26,3841
Automotive,2023-12-28,4348
Furniture,2023-05-30,1482
Pet Supplies,2023-04-26,2510
Sports,2023-05-27,2491
Sports,2023-01-23,3990
Beauty & Personal Care,2023-01-18,4173
Health & Beauty,2023-12-08,3027
Industrial & Scientific,2023-12-13,1625
Tools & Hardware,2023-12-25,3227
Toys,2023-09-23,1152
Jewelry,2023-07-19,2034
Musical Instruments,2023-11-24,1880
Health & Beauty,2023-10-22,3420
Software,2023-08-01,673
Travel,2023-12-11,4929
Appliances,2023-01-11,4066
Clothing,2023-10-21,3952
Art & Crafts,2023-10-08,3924
Shoes,2023-07-08,2520
Beauty & Personal Care,2023-02-10,4789
Beauty & Personal Care,2023-07-20,3622
Software,2023-08-22,1046
Pet Supplies,2023-06-30,3647
Jewelry,2023-06-04,2325
Appliances,2023-11-06,110
Musical Instruments,2023-05-12,403
Sports,2023-06-23,1564
Automotive,2023-03-24,4192
Luggage,2023-04-01,4961
Music,2023-05-05,1918
Books,2023-08-29,1274
Watches,2023-05-05,4285
Automotive,2023-11-10,858
Luggage,2023-10-18,3467
Clothing,2023-07-12,3080
Clothing,2023-01-03,1072
Music,2023-02-03,2220
Shoes,2023-08-23,1900
Garden & Outdoor,2023-04-29,3733
Tools & Hardware,2023-02-18,3586
Beauty & Personal Care,2023-08-30,3285
Cell Phones,2023-02-22,2958
Furniture,2023-06-08,2024
Music,2023-01-22,2409
Pharmacy,2023-09-28,4286
Jewelry,2023-08-08,4836
Music,2023-10-06,952
Home & Garden,2023-11-27,4616
Travel,2023-09-26,4426
Art & Crafts,2023-02-20,2276
Watches,2023-01-24,2175
Toys,2023-05-24,3191
Musical Instruments,2023-07-14,3353
Electronics,2023-01-01,3984
Beauty & Personal Care,2023-06-19,1891
Sports,2023-07-17,3094
Electronics,2023-03-27,881
Baby & Kids,2023-06-05,3864
Jewelry,2023-05-11,4797
Clothing,2023-02-09,3401
Health & Beauty,2023-07-26,2795
Clothing,2023-11-30,2391
Beauty & Personal Care,2023-06-18,1333
Automotive,2023-12-21,2946
Toys,2023-03-18,4636
Sports,2023-06-01,2097
Musical Instruments,2023-11-20,3098
Software,2023-06-28,4061
Automotive,2023-07-26,611
Software,2023-12-03,634
Software,2023-11-01,3608
Electronics,2023-03-21,1312
Books,2023-07-24,4641
Music,2023-11-08,3102
Musical Instruments,2023-06-03,2402
Furniture,2023-12-24,1516
Garden & Outdoor,2023-06-04,2754
Electronics,2023-12-04,1107
Software,2023-01-14,3721
Industrial & Scientific,2023-01-16,4552
Electronics,2023-05-06,1551
Music,2023-11-24,4594
Music,2023-11-14,4879
Art & Crafts,2023-09-25,4946
Furniture,2023-06-21,2050
Electronics,2023-09-27,4349
Clothing,2023-09-02,4471
Electronics,2023-06-19,4572
Music,2023-04-22,1662
Home & Garden,2023-05-08,4157
Computer & Tablets,2023-02-19,722
Cell Phones,2023-02-22,3153
Pet Supplies,2023-02-14,531
Pharmacy,2023-03-11,2366
Toys,2023-09-16,4058
Toys,2023-05-13,2178
Music,2023-06-05,4903
Health & Beauty,2023-09-05,2897
Shoes,2023-05-24,4402
Shoes,2023-12-02,4682
Music,2023-08-23,1159
Art & Crafts,2023-09-03,1095
Books,2023-06-10,2490
Beauty & Personal Care,2023-06-06,1125
Books,2023-01-28,2706
Musical Instruments,2023-03-05,2194
Food & Beverage,2023-02-08,1160
Travel,2023-11-15,3209
Watches,2023-08-02,2428
Furniture,2023-01-25,1958
Food & Beverage,2023-08-16,168
Garden & Outdoor,2023-06-07,3207
Musical Instruments,2023-07-23,1565
Baby & Kids,2023-07-26,331
Shoes,2023-03-19,1145
Office Supplies,2023-05-20,3221
Cell Phones,2023-08-12,4765
Pet Supplies,2023-09-06,4604
Beauty & Personal Care,2023-06-08,4440
Beauty & Personal Care,2023-03-18,4966
Appliances,2023-12-18,2866
Appliances,2023-11-26,2563
Cell Phones,2023-08-03,1710
Jewelry,2023-05-01,3355
Jewelry,2023-03-14,1068
Video Games,2023-02-11,1289
Tools & Hardware,2023-11-20,3345
Sports,2023-10-28,2617
Pet Supplies,2023-10-30,56
Watches,2023-07-29,3914
Office Supplies,2023-02-24,2155
Garden & Outdoor,2023-04-30,1386
Tools & Hardware,2023-11-11,118
Appliances,2023-02-14,2261
Electronics,2023-12-04,384
Jewelry,2023-06-05,614
Beauty & Personal Care,2023-01-27,2380
Travel,2023-05-30,2294
Tools & Hardware,2023-06-01,2714
Tools & Hardware,2023-03-27,1132
Tools & Hardware,2023-11-10,1063
Automotive,2023-12-20,4062
Luggage,2023-08-11,3363
Jewelry,2023-01-03,4627
Toys,2023-10-04,745
Garden & Outdoor,2023-09-08,416
Musical Instruments,2023-04-02,912
Video Games,2023-01-16,1219
Movies & TV,2023-11-10,2506
Software,2023-06-11,215
Automotive,2023-05-16,2605
Jewelry,2023-07-14,88
Appliances,2023-08-07,4782
Toys,2023-10-22,1938
Jewelry,2023-03-01,4336
Cell Phones,2023-02-05,1376
Toys,2023-01-07,204
Home & Garden,2023-10-12,4784
Appliances,2023-12-28,2166
Musical Instruments,2023-03-25,3533
Industrial & Scientific,2023-10-02,2681
Watches,2023-08-08,1095
Jewelry,2023-08-07,424
Musical Instruments,2023-01-04,3526
Electronics,2023-03-15,3664
Clothing,2023-12-06,199
Automotive,2023-12-31,1071
Luggage,2023-07-17,3297
Jewelry,2023-06-03,2722
Electronics,2023-06-23,63
Jewelry,2023-08-23,1855
Cell Phones,2023-07-19,2369
Automotive,2023-07-28,3340
Cell Phones,2023-03-06,3098
Electronics,2023-07-31,4447
Home & Garden,2023-02-22,2064
Toys,2023-10-26,1980
Furniture,2023-01-01,2051
Beauty & Personal Care,2023-12-05,1452
Beauty & Personal Care,2023-12-26,2186
Pet Supplies,2023-12-22,101
Industrial & Scientific,2023-12-19,2259
Watches,2023-10-18,966
Electronics,2023-08-02,432
Jewelry,2023-09-18,2008
Art & Crafts,2023-01-10,1619
Automotive,2023-08-05,3815
Automotive,2023-07-15,4637
Movies & TV,2023-10-19,175
Garden & Outdoor,2023-03-09,1218
Cell Phones,2023-11-20,3411
Automotive,2023-09-20,2237
Sports,2023-09-05,259
Garden & Outdoor,2023-11-09,3367
Pharmacy,2023-06-16,1049
Movies & TV,2023-09-22,1827
Musical Instruments,2023-12-29,3759
Luggage,2023-12-17,1062
Baby & Kids,2023-01-14,4988
Luggage,2023-12-16,1096
Jewelry,2023-12-25,465
Automotive,2023-05-06,4425
Health & Beauty,2023-09-19,612
Office Supplies,2023-06-28,4873
Toys,2023-04-08,1029
Books,2023-05-27,2538
Software,2023-07-21,884
Computer & Tablets,2023-12-28,3664
Appliances,2023-09-05,1640
Health & Beauty,2023-10-15,4094
Sports,2023-07-29,1375
Appliances,2023-05-15,4876
Electronics,2023-09-20,4405
Beauty & Personal Care,2023-10-01,1215
Art & Crafts,2023-08-20,2032
Office Supplies,2023-12-03,4496
Music,2023-01-10,2362
Appliances,2023-03-28,1407
Office Supplies,2023-07-12,2183
Jewelry,2023-07-19,4675
Software,2023-01-06,3099
Electronics,2023-04-20,4111
Music,2023-05-24,245
Tools & Hardware,2023-01-14,3362
Automotive,2023-05-11,1491
Luggage,2023-01-26,1529
Office Supplies,2023-12-03,3890
Computer & Tablets,2023-06-16,1231
Clothing,2023-06-30,2864
Baby & Kids,2023-10-07,1449
Office Supplies,2023-04-30,828
Sports,2023-12-12,2190
Toys,2023-10-05,651
Furniture,2023-02-11,4886
Computer & Tablets,2023-02-04,4258
Home & Garden,2023-08-25,1472
Beauty & Personal Care,2023-07-09,4654
Appliances,2023-03-16,914
Automotive,2023-07-26,2495
Art & Crafts,2023-04-09,1486
Travel,2023-10-13,3118
Movies & TV,2023-04-19,1819
Automotive,2023-04-09,4340
Software,2023-07-25,1516
Art & Crafts,2023-03-07,2452
Industrial & Scientific,2023-03-19,4230
Home & Garden,2023-10-08,961
Pet Supplies,2023-01-23,243
Clothing,2023-10-17,3807
Software,2023-08-12,219
Tools & Hardware,2023-11-07,2153
Watches,2023-05-04,2968
Tools & Hardware,2023-02-22,1462
Electronics,2023-08-09,4511
Pharmacy,2023-10-18,3760
Health & Beauty,2023-08-05,2010
Home & Garden,2023-04-16,4358
Toys,2023-10-13,1040
Travel,2023-06-22,4244
Jewelry,2023-10-03,1173
Cell Phones,2023-01-10,4685
Musical Instruments,2023-10-13,2487
Shoes,2023-07-31,2522
Toys,2023-06-17,2720
Video Games,2023-06-19,2589
Automotive,2023-06-18,224
Shoes,2023-09-28,2617
Shoes,2023-05-13,2639
Beauty & Personal Care,2023-05-10,2079
Video Games,2023-09-03,120
Health & Beauty,2023-12-02,1803
Furniture,2023-01-03,4355
Shoes,2023-02-20,1568
Pet Supplies,2023-01-21,3139
Home & Garden,2023-09-30,3635
Appliances,2023-01-25,3790
Furniture,2023-03-28,4372
Sports,2023-01-17,658
Travel,2023-11-21,1205
Appliances,2023-08-28,4544
Watches,2023-07-13,4498
Musical Instruments,2023-09-08,4725
Musical Instruments,2023-06-26,3427
Musical Instruments,2023-06-15,4394
Baby & Kids,2023-02-20,1730
Home & Garden,2023-07-01,3723
Cell Phones,2023-01-12,3160
Home & Garden,2023-01-12,2192
Garden & Outdoor,2023-09-14,3906
Food & Beverage,2023-06-29,2959
Watches,2023-09-09,1280
Tools & Hardware,2023-11-28,4980
Video Games,2023-04-28,2542
Industrial & Scientific,2023-07-03,4581
Pet Supplies,2023-04-05,630
Pharmacy,2023-08-20,4726
Electronics,2023-03-16,2946
Music,2023-11-03,2434
Computer & Tablets,2023-10-20,3983
Office Supplies,2023-04-28,1036
